0.000000000000000000e+00,3.420000000000000188e-04
3.418646985612779879e-04,4.888918180875239175e-04
6.238252801285367388e-04,6.094616077586384982e-04
8.187264694274856876e-04,6.851480309769858489e-04
1.002948660056502978e-03,7.496380940138625123e-04
1.194038362964386542e-03,8.093905411256091661e-04
1.399099777704130264e-03,8.660077418727474968e-04
1.623105936052799412e-03,9.198092629162222698e-04
1.870338287057329765e-03,9.704511846040777883e-04
2.145025924470750876e-03,1.017141577904024166e-03
2.451564158082650529e-03,1.058681868435152251e-03
2.794752107399611080e-03,1.093469229385809951e-03
3.179919672134491528e-03,1.119448342820474800e-03
3.613039751723341741e-03,1.134038495692431953e-03
4.039570209455230210e-03,1.134038495692431953e-03
